,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
機能分類,項目,仕様,最小値,最大値,初期値,必須,エラー時動作,備考,,
,開始フレーム,数値入力,処理を開始するフレーム番号,1,最大フレーム数,1,Y,数値チェック、範囲チェック、終了フレーム以下の値か,入力項目を赤枠表示し、エラー一覧に詳細を表示する。必須エラーまたは形式エラーがある場合、実行ボタンを非活性化する。,
,終了フレーム,数値入力,処理を終了するフレーム番号,1,最大フレーム数,最大フレーム数,Y,数値チェック、範囲チェック、開始フレーム以上の値か,入力項目を赤枠表示し、エラー一覧に詳細を表示する。必須エラーまたは形式エラーがある場合、実行ボタンを非活性化する。,画像フォルダ選択時に最大値を自動設定
,画像ファイル名パターン,テキスト / プルダウン,フレーム番号から画像ファイル名を特定するルール,-,-,{frame:06d}.png,Y,実在ファイルと照合,エラー表示,画像パス列を使う場合は不要にできる
,欠損フレーム処理,プルダウン,画像が存在しないフレームの扱い,-,-,スキップ,Y,リスト内の値か,エラー表示,スキップ/黒画像挿入/処理中断
,最大フレーム数,ラベル表示,画像フォルダ内の総画像数を表示,0,-,0,-,-,-,ユーザー入力不可（自動計算）
**描画設定**,点サイズ,数値入力 / スライダー,描画する点の半径（px）,1,100,5,Y,数値チェック、範囲チェック,エラー表示、または初期値へ戻す,
,点形状,プルダウン,点の形状（円、四角、バツ等）,-,-,円,Y,リスト内の値かチェック,-,
,点色,カラーピッカー / テキスト,HEXカラー #RRGGBB,-,-,#FF0000,Y,正規表現 ^#[0-9A-Fa-f]{6}$,入力枠を赤くハイライト,
,フレーム番号表示,チェックボックス,画像の左上等にフレーム番号を描画するか,-,-,OFF,N,-,-,
,タグ名表示,チェックボックス,点の近傍にタグ名を描画するか,-,-,OFF,N,-,-,
,補完点色,カラーピッカー / テキスト,補完ファイル由来の点色,-,-,#0000FF,Y,HEX形式チェック,エラー表示,タグ色とどちらを優先するか要定義
,タグ色反映,チェックボックス,選別結果ファイルのタグに応じて色を変更する,-,-,ON,N,選別結果・タグファイルとの整合性,エラー表示,ON時はタグファイルが条件付き必須
,座標表示,チェックボックス,点の近くに座標を表示する,-,-,OFF,N,-,-,デバッグ用途
**プレビュー**,プレビューフレーム番号,数値入力,プレビュー表示する対象のフレーム番号,1,最大フレーム数,1,N,数値チェック、範囲チェック,初期値または「1」に戻す,
,前フレームボタン,ボタン,1つ前のフレームを表示する,-,-,-,N,最小フレームで無効,-,連続確認用
,次フレームボタン,ボタン,1つ次のフレームを表示する,-,-,-,N,最大フレームで無効,-,連続確認用
,再描画ボタン,ボタン,現在の設定でプレビューを再描画する,-,-,-,N,必須入力済みか確認,エラー表示,動画生成前の確認用
**実行制御**,入力チェックボタン,ボタン,実行前に入力値の総合的なバリデーションを行う,-,-,-,-,-,-,
,実行ボタン,ボタン,動画生成処理を開始する,-,-,-,-,全必須項目の入力チェック、相関チェック,エラーダイアログを表示し処理を開始しない,処理中は非活性化
,キャンセルボタン,ボタン,実行中の処理を安全に中断する,-,-,-,-,-,-,処理中のみ活性化
,進捗表示,プログレスバー / テキスト,処理の進捗率(%)とステータスを表示,0%,100%,0%,-,-,-,内部値は0.0〜1.0で保持してもよい
,ログ表示欄,テキストエリア,処理中のINFO/WARN/ERRORログを出力,-,-,空白,-,-,-,読取専用、自動スクロール
,前回設定保存,チェックボックス,次回起動時に入力内容（パス等）を復元するか,-,-,ON,N,-,-,終了時に設定ファイル(JSON等)へ保存
**設定**,設定リセットボタン,ボタン,UI設定を初期値に戻す,-,-,-,N,-,確認ダイアログ表示,前回設定保存とセットで必要
